2026-07-06 22:43:26 | INFO     | google_maps_extractor | Starting scraper workflow for keyword='Cafes in Avadi'.
2026-07-06 22:43:26 | INFO     | google_maps_extractor | Starting Playwright browser lifecycle.
2026-07-06 22:43:26 | INFO     | google_maps_extractor | Starting Playwright.
2026-07-06 22:43:27 | INFO     | google_maps_extractor | Playwright started successfully.
2026-07-06 22:43:27 | INFO     | google_maps_extractor | Launching chromium.
2026-07-06 22:43:29 | INFO     | google_maps_extractor | Starting scraper workflow for keyword='Cafes in Avadi'.
2026-07-06 22:43:29 | INFO     | google_maps_extractor | Starting Playwright browser lifecycle.
2026-07-06 22:43:29 | INFO     | google_maps_extractor | Starting Playwright.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Browser launched successfully.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Creating Browser Context.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Browser Context created.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Creating Browser Page.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Page created.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Opening Google Maps.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Playwright started successfully.
2026-07-06 22:43:30 | INFO     | google_maps_extractor | Launching chromium.
2026-07-06 22:43:31 | INFO     | google_maps_extractor | Browser launched successfully.
2026-07-06 22:43:31 | INFO     | google_maps_extractor | Creating Browser Context.
2026-07-06 22:43:31 | INFO     | google_maps_extractor | Browser Context created.
2026-07-06 22:43:31 | INFO     | google_maps_extractor | Creating Browser Page.
2026-07-06 22:43:31 | INFO     | google_maps_extractor | Page created.
2026-07-06 22:43:31 | INFO     | google_maps_extractor | Opening Google Maps.
2026-07-06 22:43:35 | INFO     | google_maps_extractor | Google Maps loaded successfully.
2026-07-06 22:43:35 | INFO     | google_maps_extractor | Starting search for keyword='Cafes in Avadi'.
2026-07-06 22:43:35 | INFO     | google_maps_extractor | Locating search box.
2026-07-06 22:43:35 | INFO     | google_maps_extractor | Entering keyword into search box.
2026-07-06 22:43:35 | INFO     | google_maps_extractor | Submitting search.
2026-07-06 22:43:35 | INFO     | google_maps_extractor | Waiting for results.
2026-07-06 22:43:38 | INFO     | google_maps_extractor | Google Maps loaded successfully.
2026-07-06 22:43:38 | INFO     | google_maps_extractor | Starting search for keyword='Cafes in Avadi'.
2026-07-06 22:43:38 | INFO     | google_maps_extractor | Locating search box.
2026-07-06 22:43:38 | INFO     | google_maps_extractor | Entering keyword into search box.
2026-07-06 22:43:38 | INFO     | google_maps_extractor | Submitting search.
2026-07-06 22:43:38 | INFO     | google_maps_extractor | Waiting for results.
2026-07-06 22:43:41 | INFO     | google_maps_extractor | Locating results panel...
2026-07-06 22:43:41 | INFO     | google_maps_extractor | Results panel found.
2026-07-06 22:43:41 | INFO     | google_maps_extractor | Panel is visible.
2026-07-06 22:43:42 | INFO     | google_maps_extractor | clientHeight=611
2026-07-06 22:43:42 | INFO     | google_maps_extractor | scrollHeight=1350
2026-07-06 22:43:42 | INFO     | google_maps_extractor | scrollTop=0
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Results panel ready.
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:42 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Current scroll iteration: 1
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 6
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Number of businesses extracted so far: 0
2026-07-06 22:43:42 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Processing discovered business 1
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Business: Cafe 27
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:42 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:43 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:43 | INFO     | google_maps_extractor | Locating results panel...
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Results panel found.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Panel is visible.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | clientHeight=611
2026-07-06 22:43:44 | INFO     | google_maps_extractor | scrollHeight=1350
2026-07-06 22:43:44 | INFO     | google_maps_extractor | scrollTop=0
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Results panel ready.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Current scroll iteration: 1
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Number of new businesses found on that screen: 6
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Number of businesses extracted so far: 0
2026-07-06 22:43:44 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Processing discovered business 1
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Business: Cafe 27
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:44 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:45 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:45 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:45 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:45 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:46 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:46 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:46 | INFO     | google_maps_extractor | Processing discovered business 2
2026-07-06 22:43:46 | INFO     | google_maps_extractor | Business: Jo'z Cafe
2026-07-06 22:43:46 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:46 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:47 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:47 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:47 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:47 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:47 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:47 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:48 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:48 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:48 | INFO     | google_maps_extractor | Processing discovered business 2
2026-07-06 22:43:48 | INFO     | google_maps_extractor | Business: Jo'z Cafe
2026-07-06 22:43:49 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:49 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:49 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:49 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:50 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Processing discovered business 3
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Business: Melting Momentz Cafe
2026-07-06 22:43:50 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:51 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:51 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:51 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:51 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:52 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:52 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:52 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:52 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:53 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:53 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:53 | INFO     | google_maps_extractor | Processing discovered business 3
2026-07-06 22:43:53 | INFO     | google_maps_extractor | Business: Melting Momentz Cafe
2026-07-06 22:43:53 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:53 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:53 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:54 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:54 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:54 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:54 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:54 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Processing discovered business 4
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Business: Urban 71 - Cakes & Cafe
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Extraction successful.
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Returning to results...
2026-07-06 22:43:55 | INFO     | google_maps_extractor | Attempting history navigation to close detail panel.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Processing discovered business 4
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Business: Time Pause
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:56 | ERROR    | google_maps_extractor | Failed to open business after all retry methods.
2026-07-06 22:43:56 | ERROR    | google_maps_extractor | Failed to process business 'Time Pause'. Continuing with the next business.
Traceback (most recent call last):
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 456, in _process_businesses
    self._open_business(
    ~~~~~~~~~~~~~~~~~~~^
        business_name=business_name,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        place_href=business_snapshot["place_href"],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 706, in _open_business
    raise SearchError(f"Failed to open business '{business_name}'.")
app.exceptions.SearchError: Failed to open business 'Time Pause'.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Processing discovered business 5
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Business: Urban 71 - Cakes & Cafe
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Business opened successfully.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Extracting business details...
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:43:57 | INFO     | google_maps_extractor | Results panel restored.
